emp_no,salary,from_date,to_date
10001,66074,1988-06-25,1989-06-25
10001,66596,1989-06-25,1990-06-25
10001,66961,1990-06-25,1991-06-25
10002,67534,1998-08-03,1999-08-03
10002,69366,1999-08-03,2000-08-02
10004,67096,1998-11-28,1999-11-28
10004,69722,1999-11-28,2000-11-27
10007,68833,1995-02-09,1996-02-09
10009,66302,1988-02-18,1989-02-17
10009,69042,1989-02-17,1990-02-17
10013,66744,2000-10-16,2001-10-16
10013,68901,2001-10-16,9999-01-01
10018,67519,1995-04-01,1996-03-31
10018,69276,1996-03-31,1997-03-31
10021,66249,1995-02-08,1996-02-08
10026,66313,2002-03-18,9999-01-01
10029,66877,1992-09-17,1993-09-17
10029,69211,1993-09-17,1994-09-17
10030,66956,1994-02-17,1995-02-17
10030,68393,1995-02-17,1996-02-17
10032,69539,2002-06-17,9999-01-01
10035,66584,2000-09-02,2001-09-02
10035,68755,2001-09-02,9999-01-01
10040,67016,2000-02-13,2001-02-12
10040,68185,2001-02-12,2002-02-12
10041,69768,1994-11-11,1995-11-11
10043,68328,1997-10-18,1998-10-18
10047,66330,1994-03-30,1995-03-30
10047,69992,1995-03-30,1996-03-29
10052,66450,2001-01-30,2002-01-30
10052,67156,2002-01-30,9999-01-01
10053,67854,1994-11-13,1995-11-13
10053,67912,1995-11-13,1996-11-12
10056,67648,1998-01-30,1999-01-30
10056,69905,2000-01-30,2001-01-29
10057,66430,2001-01-12,2002-01-12
10057,68061,2002-01-12,9999-01-01
10058,67913,1997-04-23,1998-04-23
10058,68623,1998-04-23,1999-04-23
10061,68577,1989-12-02,1990-12-02
10062,66167,1998-08-28,1999-08-28
10062,66447,1999-08-28,2000-08-27
10062,68784,2000-08-27,2001-08-27
10062,68559,2001-08-27,9999-01-01
10063,69354,1999-04-06,2000-04-05
10066,69736,1986-02-26,1987-02-26
10067,66769,1995-03-02,1996-03-01
10069,67932,1992-06-14,1993-06-14
10069,68046,1993-06-14,1994-06-14
10069,67675,1994-06-14,1995-06-14
